№ УИК,Адрес голосования,Координаты
1086.0,"198206, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Сосновая Поляна, Пионерстроя улица, дом 9, корпус 1, ",59.844197 30.129189
1087.0,"198206, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Сосновая Поляна, Пионерстроя улица, дом 9, корпус 1, ",59.844197 30.129189
1088.0,"198206, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Сосновая Поляна, Пионерстроя улица, дом 10, корпус 2, ",59.840467 30.1326411
1089.0,"198206, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Сосновая Поляна, Пионерстроя улица, дом 10, корпус 2, ",59.840467 30.1326411
1090.0,"198264, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Сосновая Поляна, 2-я Комсомольская улица, дом 23, корпус 1, ",59.838587 30.143149
1091.0,"198264, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Сосновая Поляна, Ветеранов проспект, дом 151, корпус 3, ",59.837392 30.132688
1092.0,"198264, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Сосновая Поляна, Ветеранов проспект, дом 151, корпус 3, ",59.837392 30.132688
1093.0,"198206, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Сосновая Поляна, Пионерстроя улица, дом 10, корпус 2, ",59.840467 30.1326411
1094.0,"198206, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Сосновая Поляна, Ветеранов проспект, дом 173, корпус 5, строение 1, ",59.8375458 30.11374859999999
1095.0,"198264, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Сосновая Поляна, Пограничника Гарькавого улица, дом 22, корпус 1, ",59.83878499999999 30.1477079
1096.0,"198206, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Сосновая Поляна, Пограничника Гарькавого улица, дом 11, корпус 2, ",59.841281 30.145334
1097.0,"198206, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Сосновая Поляна, Пограничника Гарькавого улица, дом 11, корпус 2, ",59.841281 30.145334
1098.0,"198264, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Сосновая Поляна, Пограничника Гарькавого улица, дом 14, литера А, ",59.841196 30.147953
1099.0,"198264, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Сосновая Поляна, Ветеранов проспект, дом 135, литера А, ",59.835733 30.152361
1100.0,"198329, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Сосновая Поляна, Тамбасова улица, дом 2, корпус 4, ",59.842628 30.1624071
1101.0,"198329, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Сосновая Поляна, Тамбасова улица, дом 2, корпус 4, ",59.842628 30.1624071
1102.0,"198329, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Сосновая Поляна, Тамбасова улица, дом 2, корпус 4, ",59.842628 30.1624071
1103.0,"198328, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Южно-Приморский, Брестский бульвар, дом 19, корпус 2, ",59.8494817 30.193609
1104.0,"198328, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Южно-Приморский, Брестский бульвар, дом 19, корпус 2, ",59.8494817 30.193609
